date,comment
2020. 5. 7.,유니클로 항상 응원합니다!
2020. 5. 7.,Cool Video! Do you remember me? I really Want to be Friends xP
2020. 5. 5.,"이 영상 댓글에서 ""안사"" ""불매중"" 이딴댓글좀 쓰지마라 느그들이 안사든 불매하든 1도 안궁금하니까 굳이 일본기업 유튜브 채널에서 그딴댓글좀 작작써라 배트남의 일부 국민들도 대한민국 불매중이라던데 배트남이 삼성 유튜브 채널 영상 댓글에다 ""안사"" 이딴댓글 쓰면 좋을꺼같냐?? 제발 불매하고 안살꺼면 조용히 하던가 왜 남의나라 기업 유튜브 채널에서 개짓거리함?ㅋㅋ"
2020. 5. 5.,유니클로가 마스크 기부한거 기억합니다. 감사합니다.🇯🇵🇯🇵🇯🇵🇯🇵❤❤❤❤
2020. 5. 5.,응 절때 죽어도 안사
2020. 5. 5.,wanna be friends?
2020. 5. 5.,wanna be friends?
2020. 4. 29.,불매했던 사람들이 닌텐도 매진시켜주고 있는게 대한민국의 현실
2020. 4. 29.,"선택적 반일 운동 진짜 답답합니다.
일본이 싫으면 그 감정을 활용해서
한국 국가 경쟁력을 높일 방법이나 찾지.
저도 과거 일제 만행 역사 싫어요."
2020. 4. 29.,"오늘의 정리 
반일운동 할 바엔 
반중운동 한다👍"
2020. 4. 29.,뭐만하면 토착왜구친일파 ㅇㅈㄹ 그짝들은 토착중국인 토착빨갱이 ㅇㅈ?
2020. 4. 29.,저는 변함없이 열심히 중국불매운동을 꾸준히 하고 있습니다!!
2020. 4. 29.,"작년에 최배근 건국대 경제학 교수 왈,
''한일무역분쟁은 한국이 완승할 수 있는 구조다''
''불매운동을 일상 곳곳으로 활성화시켜야 한다''
''자유한국당 포함 보수세력은 일제와 결탁해 나라를 정복하고 있다 빼애액 민주당 장기집권으로 막아내자 빼애액''"
2020. 4. 29.,"원래 반일안했던 국민인가? 아님 반일한다해놓고 배신한 국민인가?
맘카페에 아직도 반일운동하고 반일스티커 붙이고 다니는 사람들 아직도 있던데 동물의 숲구하다는 글보고 어찌나 황당하던지..."
2020. 4. 29.,스바...  반일운동 NO제팬 2G럴 하면서 지들옷 자식들옷 사서 입을 건 다 사서 입는 것들...  멀리 볼 것도 없다 ...  내 지인 내 동생... 차마 욕은 못하겠고 참...
2020. 4. 29.,"그래도  저는  불매운동 쭉 합니다.  
이제는 불맹운동하는게 아니라  그냥 불매가 일상화가 됏어요"
2020. 4. 29.,"이런 토착왜구 맞고만 ~  
아 이런 인간들이 우리나라에 좀비 처럼 많구나‥"
2020. 4. 29.,언제적꺼임? 왜 마스크 낀 사람이 하나도 없음? 주작하는거봐라
2020. 4. 29.,"반일운동 특) 애니프사에 일본캐릭 이름달고 반일이 애국이다 빼애액 ㅋㅋ 
유니클로는 불매인데 일제카메라 들고 카메라는 대체품이 없음 ㅇㅈㄹ"
2020. 4. 29.,마지막에 나온 유니클로매장은 폐점되었어요 중동에있는 매장이요
2020. 4. 29.,ㅋㅋㅋㅋㅋ원래 우리나라국민성이 빤짝이라 그러려니합니다🤣🤣🤣 반일프레임은 정치에필요한 선택적불매운동임....
2020. 4. 29.,"저 유니클로 매장에 있는 사람들 중에 평소 인터넷상에서 반일 운동 주장하는 사람이 단 한 명도 없을까요?
갑자기 궁금하네요."
