mea_ddhr,aws_loc,aws_tem,aws_min_rain,aws_rain_YN,aws_wind_d,aws_wind_s,aws_spot_pr,aws_sea_pr,aws_hum,aws_sun,aws_sun_time
2016-04-01 00:00:00,616,6.8,0.0,0.0,207.1,0.5,,,41.2,,
2016-04-01 03:00:00,616,5.2,0.0,0.0,131.5,0.1,,,52.1,,
2016-04-01 06:00:00,616,6.8,0.0,0.0,161.5,1.1,,,40.9,,
2016-04-01 09:00:00,616,13.9,0.0,0.0,307.3,1.4,,,28.9,,
2016-04-01 12:00:00,616,20.4,0.0,0.0,23.2,2.2,,,17.7,,
2016-04-01 15:00:00,616,19.8,0.0,0.0,317.8,3.3,,,20.1,,
2016-04-01 18:00:00,616,17.7,0.0,0.0,334.2,1.1,,,20.6,,
2016-04-01 21:00:00,616,10.1,0.0,0.0,241.4,1.3,,,52.0,,
2016-04-02 00:00:00,616,9.7,0.0,0.0,192.8,1.4,,,46.0,,
2016-04-02 03:00:00,616,8.7,0.0,0.0,173.9,1.2,,,54.3,,
2016-04-02 06:00:00,616,6.0,0.0,0.0,177.9,0.6,,,63.8,,
2016-04-02 09:00:00,616,12.7,0.0,0.0,127.0,1.0,,,42.5,,
2016-04-02 12:00:00,616,20.2,0.0,0.0,205.8,2.8,,,25.6,,
2016-04-02 15:00:00,616,20.3,0.0,0.0,240.1,3.0,,,29.5,,
2016-04-02 18:00:00,616,17.1,0.0,0.0,253.8,2.2,,,43.1,,
2016-04-02 21:00:00,616,12.1,0.0,0.0,354.4,1.6,,,77.0,,
2016-04-03 00:00:00,616,9.7,0.0,0.0,217.3,1.2,,,84.5,,
2016-04-03 03:00:00,616,8.2,0.0,0.0,23.2,0.3,,,92.3,,
2016-04-03 06:00:00,616,8.2,0.0,0.0,329.8,1.4,,,92.3,,
2016-04-03 09:00:00,616,9.8,0.0,0.0,356.7,2.0,,,92.3,,
2016-04-03 12:00:00,616,11.8,0.0,0.0,352.5,2.3,,,72.9,,
2016-04-03 15:00:00,616,11.4,0.0,0.0,349.3,3.9,,,75.9,,
2016-04-03 18:00:00,616,9.9,0.0,0.0,352.8,1.9,,,70.8,,
2016-04-03 21:00:00,616,9.6,0.0,0.0,326.1,0.9,,,79.8,,
2016-04-04 00:00:00,616,8.1,0.0,0.0,331.7,1.2,,,87.8,,
2016-04-04 03:00:00,616,7.1,0.0,0.0,333.8,1.2,,,90.7,,
2016-04-04 06:00:00,616,5.7,0.0,0.0,321.3,1.1,,,89.0,,
2016-04-04 09:00:00,616,10.6,0.0,0.0,349.3,2.1,,,67.3,,
2016-04-04 12:00:00,616,16.6,0.0,0.0,121.7,1.1,,,44.5,,
2016-04-04 15:00:00,616,16.3,0.0,0.0,303.8,3.4,,,40.4,,
2016-04-04 18:00:00,616,13.6,0.0,0.0,326.1,2.3,,,36.6,,
2016-04-04 21:00:00,616,9.3,0.0,0.0,142.7,0.6,,,36.9,,
2016-04-05 00:00:00,616,7.1,0.0,0.0,206.2,2.0,,,45.7,,
2016-04-05 03:00:00,616,5.3,0.0,0.0,201.5,2.3,,,72.2,,
2016-04-05 06:00:00,616,4.5,0.0,0.0,208.0,3.2,,,87.0,,
2016-04-05 09:00:00,616,10.3,0.0,0.0,210.3,2.7,,,50.9,,
2016-04-05 12:00:00,616,16.1,0.0,0.0,338.0,1.1,,,18.2,,
2016-04-05 15:00:00,616,17.2,0.0,0.0,317.3,5.2,,,17.6,,
2016-04-05 18:00:00,616,14.4,0.0,0.0,220.0,1.8,,,25.5,,
2016-04-05 21:00:00,616,9.3,0.0,0.0,203.7,1.7,,,31.0,,
2016-04-06 00:00:00,616,7.2,0.0,0.0,211.4,2.0,,,46.2,,
2016-04-06 03:00:00,616,5.0,0.0,0.0,102.6,0.8,,,58.9,,
2016-04-06 06:00:00,616,3.9,0.0,0.0,134.0,0.8,,,64.2,,
2016-04-06 09:00:00,616,11.9,0.0,0.0,98.0,1.2,,,31.0,,
2016-04-06 12:00:00,616,18.5,0.0,0.0,68.6,2.2,,,29.6,,
2016-04-06 15:00:00,616,21.0,0.0,0.0,87.0,2.0,,,25.9,,
2016-04-06 18:00:00,616,16.9,0.0,0.0,263.3,2.5,,,26.1,,
